case_id,account_id,contact_id,product_id,owner,priority,category,created_date,resolved_date,status
CASE00259,ACC0036,CON00070,P004,E0069,Medium,Billing Inquiry,2024-12-20,2024-12-24,Resolved
CASE00260,ACC0066,CON00134,P007,E0107,Low,Product Defect,2024-04-23,2024-04-25,Resolved
CASE00261,ACC0010,CON00017,P005,E0046,Medium,Billing Inquiry,2024-03-16,2024-03-18,Resolved
CASE00262,ACC0009,CON00015,P005,E0080,Medium,Technical Support,2025-07-03,2025-07-11,Resolved
CASE00263,ACC0014,CON00023,P005,E0029,Low,Product Defect,2024-07-13,2024-07-18,Resolved
CASE00264,ACC0030,CON00060,P004,E0064,Low,Product Defect,2025-04-15,2025-04-19,Resolved
CASE00265,ACC0006,CON00011,P014,E0137,High,Warranty Claim,2024-08-21,2024-08-25,Resolved
CASE00266,ACC0062,CON00126,P011,E0046,Medium,Warranty Claim,2025-07-17,2025-07-21,Resolved
CASE00267,ACC0031,CON00063,P007,E0064,Medium,Billing Inquiry,2025-03-23,2025-04-05,Resolved
CASE00268,ACC0051,CON00099,P007,E0051,Low,Warranty Claim,2025-07-18,2025-07-28,Resolved
CASE00269,ACC0008,CON00014,P016,E0069,Critical,Technical Support,2024-02-25,2024-02-29,Resolved
CASE00270,ACC0067,CON00137,P009,E0092,Low,Product Defect,2024-10-23,2024-10-28,Resolved
CASE00271,ACC0013,CON00021,P009,E0029,Low,Delivery Complaint,2024-08-05,2024-08-16,Resolved
CASE00272,ACC0029,CON00058,P011,E0046,High,Product Defect,2024-07-07,2024-07-21,Resolved
CASE00273,ACC0042,CON00082,P008,E0046,Medium,Billing Inquiry,2024-10-16,2024-10-17,Resolved
CASE00274,ACC0056,CON00111,P014,E0029,Low,Billing Inquiry,2024-10-30,2024-11-01,Resolved
CASE00275,ACC0010,CON00017,P004,E0029,Medium,Technical Support,2025-09-03,2025-09-08,Resolved
CASE00276,ACC0035,CON00068,P004,E0107,High,Delivery Complaint,2024-04-10,2024-04-22,Resolved
CASE00277,ACC0030,CON00061,P001,E0029,Medium,Product Defect,2025-12-14,2025-12-15,Resolved
CASE00278,ACC0023,CON00045,P002,E0046,Medium,Product Defect,2024-03-09,2024-03-14,Resolved
CASE00279,ACC0059,CON00120,P015,E0170,Medium,Billing Inquiry,2025-06-30,2025-07-10,Resolved
CASE00280,ACC0021,CON00041,P015,E0170,Low,Delivery Complaint,2025-02-22,2025-02-26,Resolved
CASE00281,ACC0041,CON00080,P003,E0103,Low,Delivery Complaint,2024-11-16,2024-11-16,Resolved
CASE00282,ACC0048,CON00094,P006,E0001,Medium,Product Defect,2024-04-25,2024-05-07,Resolved
CASE00283,ACC0007,CON00012,P003,E0092,Low,Warranty Claim,2025-08-31,2025-09-05,Resolved
CASE00284,ACC0058,CON00116,P009,E0051,Low,Warranty Claim,2024-05-08,2024-05-09,Resolved
CASE00285,ACC0015,CON00026,P002,E0107,Critical,Product Defect,2024-05-27,2024-05-31,Resolved
CASE00286,ACC0013,CON00021,P004,E0064,Medium,Delivery Complaint,2024-06-07,2024-06-08,Resolved
CASE00287,ACC0040,CON00077,P012,E0001,High,Technical Support,2024-05-16,2024-05-22,Resolved
CASE00288,ACC0069,CON00142,P014,E0069,Medium,Product Defect,2024-09-21,2024-10-03,Resolved
CASE00289,ACC0069,CON00141,P008,E0069,Low,Technical Support,2024-08-22,2024-09-08,Resolved
CASE00290,ACC0037,CON00072,P004,E0001,Medium,Warranty Claim,2025-12-15,2025-12-17,Resolved
CASE00291,ACC0007,CON00013,P006,E0001,High,Technical Support,2024-04-11,2024-04-12,Resolved
CASE00292,ACC0035,CON00068,P011,E0107,Medium,Technical Support,2025-05-08,2025-05-11,Resolved
CASE00293,ACC0059,CON00121,P015,E0029,High,Product Defect,2025-02-01,2025-02-04,Resolved
CASE00294,ACC0009,CON00015,P001,E0064,Low,Product Defect,2024-06-21,2024-06-26,Resolved
CASE00295,ACC0011,CON00018,P004,E0064,High,Product Defect,2024-07-27,2024-08-08,Resolved
CASE00296,ACC0018,CON00034,P008,E0137,High,Warranty Claim,2024-01-12,2024-01-20,Resolved
CASE00297,ACC0006,CON00009,P001,E0107,Medium,Warranty Claim,2024-12-05,2024-12-10,Resolved
CASE00298,ACC0018,CON00034,P008,E0170,Low,Warranty Claim,2025-06-22,2025-07-02,Resolved
CASE00299,ACC0068,CON00139,P004,E0051,Low,Technical Support,2025-10-30,2025-11-07,Resolved
CASE00300,ACC0014,CON00023,P009,E0103,High,Product Defect,2024-02-26,2024-03-04,Resolved
CASE00301,ACC0050,CON00098,P013,E0107,Critical,Billing Inquiry,2025-07-13,2025-07-15,Resolved
CASE00302,ACC0058,CON00117,P013,E0103,Critical,Billing Inquiry,2025-12-03,2025-12-07,Resolved
CASE00303,ACC0021,CON00041,P002,E0046,High,Delivery Complaint,2024-10-25,2024-10-26,Resolved
CASE00304,ACC0020,CON00038,P011,E0137,Low,Warranty Claim,2025-06-08,2025-06-11,Resolved
CASE00305,ACC0070,CON00143,P005,E0016,Low,Product Defect,2024-04-21,2024-04-26,Resolved
CASE00306,ACC0027,CON00053,P014,E0046,Critical,Technical Support,2024-06-21,2024-07-04,Resolved
CASE00307,ACC0019,CON00036,P017,E0092,Low,Delivery Complaint,2025-09-02,2025-09-21,Resolved
CASE00308,ACC0029,CON00059,P007,E0137,Medium,Billing Inquiry,2024-01-23,2024-02-13,Resolved
CASE00309,ACC0014,CON00023,P011,E0103,Medium,Warranty Claim,2025-02-02,2025-02-11,Resolved
CASE00310,ACC0030,CON00062,P001,E0092,Medium,Delivery Complaint,2025-07-08,2025-07-17,Resolved
CASE00311,ACC0059,CON00121,P013,E0170,Medium,Delivery Complaint,2024-10-18,2024-10-22,Resolved
CASE00312,ACC0018,CON00034,P001,E0029,Medium,Billing Inquiry,2024-07-30,2024-08-07,Resolved
CASE00313,ACC0044,CON00085,P014,E0080,Critical,Technical Support,2025-02-08,2025-02-10,Resolved
CASE00314,ACC0059,CON00121,P004,E0029,Medium,Product Defect,2025-05-03,2025-05-05,Resolved
CASE00315,ACC0032,CON00064,P008,E0103,Low,Product Defect,2025-12-25,2025-12-29,Resolved
CASE00316,ACC0056,CON00111,P015,E0107,Low,Technical Support,2025-08-03,2025-09-09,Resolved
CASE00317,ACC0015,CON00026,P004,E0092,Low,Warranty Claim,2025-01-18,2025-01-19,Resolved
CASE00318,ACC0066,CON00133,P004,E0069,High,Delivery Complaint,2025-07-29,2025-08-18,Resolved
CASE00319,ACC0007,CON00013,P002,E0046,Medium,Delivery Complaint,2025-04-13,2025-04-22,Resolved
CASE00320,ACC0015,CON00027,P013,E0103,High,Technical Support,2024-03-18,2024-04-02,Resolved
CASE00321,ACC0035,CON00068,P009,E0029,Low,Billing Inquiry,2024-10-25,2024-10-29,Resolved
CASE00322,ACC0018,CON00034,P017,E0137,Low,Product Defect,2025-02-01,2025-02-16,Resolved
CASE00323,ACC0062,CON00126,P002,E0092,Medium,Technical Support,2024-01-22,2024-01-24,Resolved
CASE00324,ACC0046,CON00089,P001,E0092,Medium,Delivery Complaint,2024-03-31,2024-04-01,Resolved
CASE00325,ACC0021,CON00041,P002,E0051,High,Warranty Claim,2024-06-25,2024-06-30,Resolved
CASE00326,ACC0023,CON00047,P004,E0064,Low,Warranty Claim,2024-06-07,2024-06-10,Resolved
CASE00327,ACC0058,CON00118,P014,E0069,Medium,Technical Support,2025-02-07,2025-02-12,Resolved
CASE00328,ACC0059,CON00119,P016,E0029,Medium,Technical Support,2024-12-11,2024-12-14,Resolved
CASE00329,ACC0025,CON00051,P008,E0107,Low,Delivery Complaint,2025-07-06,2025-07-19,Resolved
CASE00330,ACC0032,CON00064,P016,E0016,Low,Delivery Complaint,2025-12-27,,Open
CASE00331,ACC0002,CON00003,P016,E0064,Low,Warranty Claim,2024-10-05,2024-10-10,Resolved
CASE00332,ACC0066,CON00134,P011,E0064,Medium,Warranty Claim,2024-09-15,2024-09-22,Resolved
CASE00333,ACC0062,CON00127,P008,E0092,High,Product Defect,2025-04-22,2025-04-24,Resolved
CASE00334,ACC0035,CON00068,P009,E0046,Low,Warranty Claim,2025-05-20,2025-05-31,Resolved
CASE00335,ACC0067,CON00137,P014,E0092,Low,Delivery Complaint,2025-11-20,2025-11-22,Resolved
CASE00336,ACC0052,CON00100,P010,E0051,Medium,Delivery Complaint,2025-11-23,2025-12-02,Resolved
CASE00337,ACC0064,CON00129,P014,E0069,Low,Delivery Complaint,2025-06-21,2025-06-22,Resolved
CASE00338,ACC0032,CON00064,P011,E0029,Low,Technical Support,2024-06-04,2024-07-02,Resolved
CASE00339,ACC0026,CON00052,P016,E0080,Medium,Delivery Complaint,2025-03-16,2025-03-17,Resolved
CASE00340,ACC0067,CON00136,P012,E0092,Critical,Technical Support,2024-02-19,2024-02-20,Resolved
CASE00341,ACC0013,CON00021,P016,E0080,High,Delivery Complaint,2024-05-13,2024-05-16,Resolved
CASE00342,ACC0046,CON00088,P006,E0016,Medium,Billing Inquiry,2025-06-16,2025-06-19,Resolved
CASE00343,ACC0067,CON00136,P006,E0001,Medium,Warranty Claim,2025-04-28,2025-04-28,Resolved
CASE00344,ACC0004,CON00006,P004,E0064,High,Product Defect,2025-03-11,2025-03-13,Resolved
CASE00345,ACC0048,CON00094,P005,E0046,Medium,Billing Inquiry,2025-12-27,,Open
CASE00346,ACC0018,CON00034,P010,E0080,Medium,Billing Inquiry,2024-03-22,2024-04-05,Resolved
CASE00347,ACC0040,CON00078,P001,E0029,Medium,Warranty Claim,2025-02-22,2025-02-23,Resolved
CASE00348,ACC0034,CON00066,P008,E0069,High,Billing Inquiry,2024-08-13,2024-08-16,Resolved
CASE00349,ACC0057,CON00113,P017,E0137,Medium,Delivery Complaint,2025-12-29,,Open
CASE00350,ACC0040,CON00078,P009,E0001,Medium,Product Defect,2024-05-03,2024-05-28,Resolved
CASE00351,ACC0069,CON00142,P008,E0080,Low,Technical Support,2024-09-20,2024-09-22,Resolved
CASE00352,ACC0067,CON00136,P002,E0029,Medium,Product Defect,2024-07-31,2024-08-10,Resolved
CASE00353,ACC0017,CON00031,P015,E0001,Medium,Billing Inquiry,2025-03-17,2025-03-19,Resolved
CASE00354,ACC0038,CON00074,P008,E0051,Low,Delivery Complaint,2024-05-05,2024-05-13,Resolved
CASE00355,ACC0061,CON00123,P015,E0029,Medium,Product Defect,2024-06-03,2024-06-09,Resolved
CASE00356,ACC0009,CON00016,P016,E0069,Medium,Delivery Complaint,2024-09-15,2024-09-19,Resolved
CASE00357,ACC0042,CON00082,P007,E0170,Low,Delivery Complaint,2024-08-24,2024-09-10,Resolved
CASE00358,ACC0055,CON00107,P016,E0029,Medium,Technical Support,2025-02-16,2025-02-19,Resolved
CASE00359,ACC0002,CON00003,P010,E0016,Medium,Technical Support,2024-04-28,2024-05-06,Resolved
CASE00360,ACC0002,CON00003,P003,E0080,Low,Delivery Complaint,2025-03-19,2025-03-24,Resolved
CASE00361,ACC0005,CON00008,P016,E0103,Medium,Billing Inquiry,2024-12-31,2025-01-05,Resolved
CASE00362,ACC0026,CON00052,P002,E0016,Medium,Technical Support,2024-10-31,2024-11-03,Resolved
CASE00363,ACC0018,CON00034,P005,E0001,Low,Warranty Claim,2024-06-10,2024-06-20,Resolved
CASE00364,ACC0058,CON00116,P014,E0016,High,Delivery Complaint,2025-01-14,2025-01-23,Resolved
CASE00365,ACC0021,CON00041,P016,E0092,High,Technical Support,2025-08-09,2025-08-12,Resolved
CASE00366,ACC0066,CON00134,P010,E0069,Medium,Technical Support,2024-02-06,2024-02-11,Resolved
CASE00367,ACC0026,CON00052,P007,E0107,Medium,Delivery Complaint,2024-11-05,2024-11-08,Resolved
CASE00368,ACC0053,CON00102,P015,E0092,Medium,Billing Inquiry,2024-12-22,2024-12-25,Resolved
CASE00369,ACC0006,CON00010,P014,E0107,High,Warranty Claim,2025-02-03,2025-02-10,Resolved
CASE00370,ACC0040,CON00077,P006,E0170,High,Delivery Complaint,2024-07-22,2024-07-24,Resolved
CASE00371,ACC0050,CON00098,P016,E0170,Medium,Warranty Claim,2025-11-18,2025-11-20,Resolved
CASE00372,ACC0046,CON00090,P010,E0064,Low,Warranty Claim,2024-11-27,2024-12-08,Resolved
CASE00373,ACC0004,CON00006,P013,E0029,Medium,Billing Inquiry,2024-12-06,2024-12-12,Resolved
CASE00374,ACC0059,CON00119,P016,E0080,Medium,Warranty Claim,2025-03-30,2025-04-05,Resolved
CASE00375,ACC0021,CON00041,P009,E0107,Low,Delivery Complaint,2024-09-21,2024-09-23,Resolved
CASE00376,ACC0045,CON00086,P013,E0051,Low,Product Defect,2025-04-27,2025-05-03,Resolved
CASE00377,ACC0002,CON00003,P016,E0001,High,Warranty Claim,2024-03-15,2024-03-17,Resolved
CASE00378,ACC0018,CON00034,P015,E0029,Medium,Warranty Claim,2025-09-18,2025-09-19,Resolved
CASE00379,ACC0059,CON00121,P005,E0029,Low,Product Defect,2024-07-28,2024-08-05,Resolved
CASE00380,ACC0033,CON00065,P011,E0092,Low,Delivery Complaint,2025-04-24,2025-05-01,Resolved
CASE00381,ACC0026,CON00052,P014,E0080,Low,Delivery Complaint,2025-09-11,2025-09-21,Resolved
CASE00382,ACC0070,CON00143,P005,E0029,Low,Warranty Claim,2024-07-12,2024-07-14,Resolved
CASE00383,ACC0012,CON00020,P011,E0001,High,Technical Support,2024-10-17,2024-10-24,Resolved
CASE00384,ACC0057,CON00114,P015,E0046,Medium,Warranty Claim,2024-10-11,2024-10-12,Resolved
CASE00385,ACC0007,CON00013,P014,E0092,Low,Billing Inquiry,2025-02-18,2025-02-23,Resolved
CASE00386,ACC0038,CON00074,P008,E0103,Low,Warranty Claim,2025-06-21,2025-06-27,Resolved
CASE00387,ACC0018,CON00034,P013,E0051,Low,Delivery Complaint,2024-03-28,2024-03-30,Resolved
CASE00388,ACC0005,CON00008,P012,E0069,Medium,Warranty Claim,2025-04-14,2025-04-17,Resolved
CASE00389,ACC0010,CON00017,P017,E0137,Medium,Technical Support,2024-07-30,2024-08-02,Resolved
CASE00390,ACC0004,CON00007,P005,E0170,Medium,Delivery Complaint,2025-10-02,2025-10-04,Resolved
CASE00391,ACC0037,CON00072,P011,E0046,Medium,Product Defect,2025-09-10,2025-09-14,Resolved
CASE00392,ACC0027,CON00054,P014,E0170,Low,Product Defect,2025-03-20,2025-03-29,Resolved
CASE00393,ACC0018,CON00034,P003,E0029,Low,Warranty Claim,2024-06-08,2024-06-13,Resolved
CASE00394,ACC0015,CON00026,P010,E0029,High,Technical Support,2025-11-27,2025-12-03,Resolved
CASE00395,ACC0015,CON00027,P016,E0107,Medium,Warranty Claim,2024-08-31,2024-09-01,Resolved
CASE00396,ACC0064,CON00129,P010,E0051,Medium,Technical Support,2024-05-13,2024-05-14,Resolved
CASE00397,ACC0066,CON00133,P011,E0092,High,Warranty Claim,2025-08-24,2025-08-27,Resolved
CASE00398,ACC0058,CON00117,P016,E0080,High,Technical Support,2024-03-03,2024-03-04,Resolved
CASE00399,ACC0066,CON00134,P017,E0092,Medium,Warranty Claim,2025-10-06,2025-10-12,Resolved
CASE00400,ACC0004,CON00006,P001,E0029,Low,Technical Support,2024-10-04,2024-10-21,Resolved
CASE00401,ACC0023,CON00045,P002,E0170,Medium,Billing Inquiry,2025-08-17,2025-08-29,Resolved
CASE00402,ACC0051,CON00099,P001,E0064,Low,Delivery Complaint,2024-03-19,2024-03-24,Resolved
CASE00403,ACC0003,CON00004,P011,E0069,Critical,Technical Support,2024-05-28,2024-05-29,Resolved
CASE00404,ACC0021,CON00040,P010,E0080,Low,Billing Inquiry,2024-01-31,2024-02-04,Resolved
CASE00405,ACC0025,CON00050,P017,E0001,Low,Delivery Complaint,2024-04-05,2024-04-16,Resolved
CASE00406,ACC0041,CON00079,P013,E0016,Low,Warranty Claim,2024-01-26,2024-01-28,Resolved
CASE00407,ACC0004,CON00005,P013,E0064,Medium,Delivery Complaint,2025-12-03,2025-12-13,Resolved
CASE00408,ACC0035,CON00068,P002,E0137,Low,Delivery Complaint,2024-04-26,2024-04-28,Resolved
CASE00409,ACC0065,CON00132,P017,E0103,Medium,Warranty Claim,2025-05-02,2025-05-04,Resolved
CASE00410,ACC0048,CON00094,P007,E0029,Low,Delivery Complaint,2025-04-18,2025-04-28,Resolved
CASE00411,ACC0005,CON00008,P006,E0029,Medium,Delivery Complaint,2024-03-20,2024-03-25,Resolved
CASE00412,ACC0056,CON00112,P003,E0170,Medium,Technical Support,2024-01-09,2024-01-12,Resolved
CASE00413,ACC0023,CON00046,P013,E0064,Low,Technical Support,2025-06-11,2025-06-18,Resolved
CASE00414,ACC0052,CON00101,P013,E0170,Medium,Delivery Complaint,2025-11-11,2025-11-19,Resolved
CASE00415,ACC0053,CON00103,P013,E0170,Critical,Technical Support,2025-02-11,2025-02-17,Resolved
CASE00416,ACC0032,CON00064,P014,E0080,High,Billing Inquiry,2024-12-13,2024-12-22,Resolved
CASE00417,ACC0049,CON00095,P005,E0092,High,Technical Support,2025-07-17,2025-07-22,Resolved
CASE00418,ACC0017,CON00032,P009,E0092,Medium,Warranty Claim,2024-08-18,2024-08-23,Resolved
CASE00419,ACC0007,CON00013,P004,E0064,Low,Product Defect,2024-07-15,2024-07-28,Resolved
CASE00420,ACC0053,CON00102,P003,E0051,High,Warranty Claim,2024-12-13,2024-12-16,Resolved
CASE00421,ACC0067,CON00136,P001,E0016,Medium,Warranty Claim,2024-01-13,2024-01-15,Resolved
CASE00422,ACC0065,CON00132,P017,E0046,High,Product Defect,2024-06-12,2024-06-17,Resolved
CASE00423,ACC0012,CON00020,P009,E0001,Medium,Technical Support,2025-09-29,2025-09-29,Resolved
CASE00424,ACC0018,CON00034,P005,E0051,Medium,Billing Inquiry,2025-10-24,2025-10-26,Resolved
CASE00425,ACC0043,CON00084,P010,E0064,Low,Technical Support,2025-05-10,2025-05-15,Resolved
CASE00426,ACC0046,CON00089,P001,E0137,Medium,Product Defect,2024-02-03,2024-02-10,Resolved
CASE00427,ACC0050,CON00098,P014,E0016,Medium,Delivery Complaint,2024-08-17,2024-08-17,Resolved
CASE00428,ACC0066,CON00134,P015,E0080,Medium,Billing Inquiry,2024-09-29,2024-09-30,Resolved
CASE00429,ACC0060,CON00122,P015,E0001,Low,Technical Support,2025-12-29,,Open
CASE00430,ACC0058,CON00118,P008,E0170,Medium,Technical Support,2024-07-21,2024-08-02,Resolved
CASE00431,ACC0060,CON00122,P003,E0103,High,Product Defect,2024-05-19,2024-05-24,Resolved
CASE00432,ACC0066,CON00133,P011,E0103,Low,Delivery Complaint,2024-01-29,2024-02-01,Resolved
CASE00433,ACC0054,CON00106,P012,E0137,Medium,Warranty Claim,2024-06-02,2024-06-04,Resolved
CASE00434,ACC0053,CON00103,P014,E0080,Medium,Technical Support,2024-09-01,2024-09-15,Resolved
CASE00435,ACC0063,CON00128,P006,E0001,Medium,Billing Inquiry,2025-04-25,2025-04-28,Resolved
CASE00436,ACC0062,CON00126,P014,E0001,Medium,Warranty Claim,2024-12-24,2024-12-27,Resolved
CASE00437,ACC0018,CON00034,P017,E0029,High,Technical Support,2024-08-20,2024-08-30,Resolved
CASE00438,ACC0014,CON00024,P014,E0092,Medium,Billing Inquiry,2024-07-31,2024-08-03,Resolved
CASE00439,ACC0030,CON00061,P004,E0107,Critical,Delivery Complaint,2025-07-02,2025-07-04,Resolved
CASE00440,ACC0013,CON00021,P006,E0080,Medium,Delivery Complaint,2025-10-01,2025-10-13,Resolved
CASE00441,ACC0027,CON00053,P005,E0103,High,Technical Support,2025-01-31,2025-02-03,Resolved
CASE00442,ACC0002,CON00003,P001,E0107,High,Delivery Complaint,2025-09-08,2025-09-11,Resolved
CASE00443,ACC0029,CON00058,P010,E0170,Medium,Delivery Complaint,2024-10-22,2024-10-26,Resolved
CASE00444,ACC0006,CON00009,P002,E0051,Low,Technical Support,2024-02-25,2024-03-24,Resolved
CASE00445,ACC0039,CON00076,P006,E0064,Medium,Warranty Claim,2024-01-24,2024-01-25,Resolved
CASE00446,ACC0004,CON00006,P012,E0069,Low,Technical Support,2024-10-22,2024-10-27,Resolved
CASE00447,ACC0029,CON00059,P015,E0069,Low,Delivery Complaint,2024-02-19,2024-02-20,Resolved
CASE00448,ACC0003,CON00004,P003,E0046,Medium,Product Defect,2025-12-19,2025-12-24,Resolved
CASE00449,ACC0065,CON00132,P007,E0029,High,Product Defect,2024-08-12,2024-08-14,Resolved
CASE00450,ACC0018,CON00034,P011,E0064,Medium,Product Defect,2024-05-08,2024-05-13,Resolved
